Gender,Education,ApplicantIncome,Credit_History,Loan_Status
Male,Not Graduate,1875,1,Y
Male,Graduate,9083,1,Y
Female,Not Graduate,3400,1,N
Male,Not Graduate,3010,0,Y
Male,Graduate,2213,1,Y
Male,Not Graduate,2653,0,Y
Male,Graduate,4583,1,Y
Male,Graduate,3333,1,Y
Male,Graduate,2935,1,Y
Male,Graduate,3062,0,Y
Male,Graduate,16666,1,Y
Male,Graduate,2435,1,Y
Male,Graduate,3547,0,Y
Male,Graduate,5829,1,Y
Male,Graduate,2083,1,Y
Female,Not Graduate,2720,0,N
Male,Graduate,3153,1,Y
Male,Not Graduate,5800,1,Y
Male,Graduate,1836,1,Y
Male,Graduate,16667,1,Y
Male,Graduate,3500,1,Y
Female,Graduate,7440,1,N
Male,Graduate,2625,1,Y
Male,Not Graduate,2510,1,Y
Male,Graduate,2787,0,N
Male,Graduate,5488,1,Y
Male,Not Graduate,3189,1,Y
Male,Graduate,6325,1,Y
Male,Graduate,6700,1,Y
Male,Not Graduate,4554,1,Y
Male,Graduate,3159,1,Y
Male,Graduate,6417,1,Y
Male,Graduate,7948,1,Y
Male,Not Graduate,6125,1,Y
Male,Graduate,2787,0,Y
Female,Graduate,2138,0,N
Female,Graduate,8333,1,N
Male,Not Graduate,3399,1,Y
Male,Not Graduate,4695,1,Y
Male,Not Graduate,3691,1,Y
Male,Graduate,3158,1,Y
Male,Graduate,5116,0,N
Male,Graduate,5503,1,Y
Male,Graduate,12500,1,Y
Male,Graduate,150,1,Y
Female,Graduate,10047,1,N
Male,Not Graduate,2281,1,Y
Male,Graduate,2483,0,Y
Male,Graduate,5000,1,Y
Female,Graduate,6000,1,N
Male,Graduate,3450,1,Y
Male,Graduate,3466,1,Y
Male,Graduate,39147,1,Y
Male,Graduate,3229,1,Y
Male,Graduate,6633,0,N
Male,Graduate,7787,1,Y
Male,Graduate,2799,1,Y
Male,Graduate,14683,1,Y
Male,Not Graduate,2917,1,Y
Male,Graduate,4281,1,Y
Male,Graduate,5667,1,Y
Female,Graduate,15759,1,N
Female,Graduate,4547,1,N
Male,Graduate,3166,0,Y
Male,Not Graduate,4053,0,N
Male,Not Graduate,3620,1,Y
Male,Graduate,3052,1,Y
Male,Graduate,2833,1,Y
Female,Graduate,4180,1,N
Male,Graduate,4342,1,Y
Male,Graduate,6277,0,Y
Female,Graduate,10408,1,Y
Male,Graduate,2491,1,Y
Male,Graduate,16250,0,N
Male,Not Graduate,2647,1,Y
Male,Not Graduate,7100,1,Y
Male,Graduate,2785,1,Y
Female,Graduate,3159,1,N
Female,Graduate,4723,1,N
Male,Graduate,3208,1,Y
Male,Graduate,10833,1,Y
Male,Graduate,2366,1,Y
Male,Not Graduate,5800,1,Y
Male,Not Graduate,2167,1,Y
Male,Graduate,14880,1,Y
